# Wicked.API candidate stable API
# name<TAB>binding-kind
Scrollbar	datatype
SearchInput	datatype
SearchInputState	datatype
Select	datatype
SelectState	datatype
Selector	datatype
ShortcutBar	datatype
Sidebar	unionall
Signal	unionall
Size	datatype
SpaceAround	value
SpaceBetween	value
SpaceEvenly	value
Spacer	datatype
Span	datatype
Sparkline	datatype
Spinner	datatype
SpinnerState	datatype
SplitButton	unionall
SplitButtonState	datatype
SplitPane	unionall
StartFlex	value
Status	datatype
StatusBar	datatype
Stepper	datatype
StepperState	unionall
Style	datatype
StyleContext	datatype
StyleEngine	datatype
StylePatch	datatype
SuspendCommand	unionall
SyntaxView	datatype
SyntaxViewState	datatype
Tab	unionall
TabView	unionall
TabViewState	datatype
Table	datatype
TableColumn	datatype
TableRow	datatype
TableState	datatype
Tabs	datatype
TabsState	datatype
TaskCommand	unionall
TaskMonitor	datatype
TaskMonitorState	datatype
Terminal	unionall
TerminalCapabilities	datatype
TerminalCommand	unionall
TerminalLimits	datatype
TerminalOptions	datatype
TerminalView	datatype
TerminalViewState	datatype
TestBackend	datatype
Text	datatype
TextArea	datatype
TextAreaState	datatype
TextInput	datatype
TextInputState	datatype
Theme	datatype
ThemeDescriptor	datatype
ThemePreview	datatype
ThemePreviewState	datatype
ThemeRegistry	datatype
TickEvent	datatype
TimeInput	datatype
TimeInputState	datatype
Timeline	unionall
TimelineActive	value
TimelineComplete	value
TimelineFailed	value
TimelineItem	unionall
TimelinePending	value
TimelineState	unionall
TimelineStatus	datatype
TimelineWidgetState	unionall
TitleBar	datatype
Toast	datatype
Toggle	datatype
ToggleState	datatype
Toolbar	unionall
ToolkitApp	datatype
ToolkitModel	unionall
ToolkitPilot	datatype
ToolkitState	datatype
ToolkitTree	datatype
TransferList	datatype
TransferListState	datatype
Tree	datatype
TreeNode	datatype
TreeState	datatype
TreeTable	unionall
TreeTableState	unionall
UNDERLINE	value
UnderlineCursor	value
UnicodeWidthPolicy	datatype
UnknownEvent	datatype
ValidationCompleted	datatype
ValidationIssue	datatype
ValidationMessage	datatype
ValidationSummary	datatype
Validator	unionall
VerticalLayout	value
Viewport	unionall
ViewportState	datatype
VirtualClock	datatype
WheelDownButton	value
WheelUpButton	value
WickedApp	datatype
WidgetPilot	datatype
WidgetPilotResult	datatype
Wrap	unionall
activate_dialog_button!	function
active_theme	function
active_theme_descriptor	function
add_progress_task!	function
advance_progress!	function
advance_time!	function
aggregate_progress	function
ansi_plain_text	function
ansi_snapshot	function
app_view	function
apply	function
apply_style!	function
apply_validation!	function
assert_ansi_snapshot	function
assert_cell	function
assert_plain_snapshot	function
available_themes	function
backend_capabilities	function
backend_size	function
buffer_rows	function
cancel!	function
cancel_progress!	function
center	function
clamp	function
clear!	function
click!	function
close_drawer!	function
close_input!	function
code_editor_semantic_node	function
code_editor_text	function
complete_progress!	function
complete_step!	function
computed_signal	function
computed_style	function
contains	function
data_grid_semantic_tree	function
dev_console_lines	function
diff_buffers	function
dispatch!	function
dispose!	function
dock	function
draw!	function
draw_grapheme!	function
draw_line!	function
draw_span!	function
draw_text!	function
element_instance	function
element_state	function
enter!	function
fail_progress!	function
fail_step!	function
feed!	function
field_state	function
field_value	function
fill!	function
flow	function
flush!	function
flush_escape!	function
flush_input!	function
focus_element!	function
force_redraw!	function
form_dirty	function
form_issues	function
form_pending	function
form_valid	function
form_values	function
grapheme_width	function
handle!	function
hover!	function
hyperlink_target	function
initialize	function
initialize_model	function
inner	function
inset	function
intersection	function
key!	function
leaf	function
leave!	function
measure	function
merge!	function
meter_ratio	function
mouse!	function
move_masked_input_cursor!	function
next_page!	function
next_step!	function
open_dialog!	function
open_drawer!	function
page_count	function
page_range	function
parse_color	function
parse_stylesheet	function
paste!	function
pause_progress!	function
plain_snapshot	function
post!	function
post_event!	function
present!	function
previous_page!	function
previous_step!	function
process_view_lines	function
progress_generation	function
progress_snapshot	function
progress_snapshots	function
query	function
query_one	function
reactive_effect!	function
read_event!	function
recompute!	function
remove_progress_task!	function
render!	function
render_application!	function
render_toolkit!	function
request_cursor!	function
request_exit!	function
required_validator	function
reset!	function
reset_field!	function
reset_form!	function
reset_progress!	function
reset_terminal!	function
resize_backend!	function
resize_terminal!	function
resolve	function
resume_progress!	function
run!	function
run_async	function
send!	function
set_active_theme!	function
set_code_editor_language!	function
set_code_editor_text!	function
set_field!	function
set_masked_input_cursor!	function
set_page!	function
set_progress!	function
set_progress_total!	function
set_signal!	function
set_terminal_limits!	function
set_terminal_title!	function
set_terminal_view!	function
set_theme_preference!	function
signal_value	function
signal_version	function
skip_step!	function
split	function
state_for	function
structured_snapshot	function
subscribe!	function
subscribe_theme!	function
svg_snapshot	function
take_messages!	function
task_monitor_lines	function
text_width	function
timeline_value	function
timeline_widget_semantic_tree	function
toggle_drawer!	function
toolkit_subscriptions	function
toolkit_update!	function
toolkit_view	function
transaction!	function
tree_table_semantic_tree	function
try_parse_stylesheet	function
type_text!	function
union	function
unsubscribe!	function
unsubscribe_theme!	function
update!	function
update_signal!	function
validate_field!	function
validate_form!	function
with_terminal	function
