widget_type	stateless	stateful	source	zero_size	minimal	clipped	resize	state_transition	snapshot	toolkit	semantics	keyboard	pointer
Wicked.Toolbar	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Toolkit.ToolkitTree	true	false	src/Toolkit.jl	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract	test/widget_interactions_extended.jl:Toolkit tree root contract
Wicked.TreeTable	true	true	src/DataWidgets.jl	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics
Wicked.Viewport	false	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics	test/new_widget_families.jl:viewport toolkit semantics
Wicked.Widgets.Alert	true	false	src/widgets/application.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:application chrome toolkit semantics	test/acceptance_widgets.jl:application chrome toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Badge	true	false	src/widgets/application.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:application chrome toolkit semantics	test/acceptance_widgets.jl:application chrome toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.BarChart	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Block	true	false	src/widgets/structure.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Box	true	false	src/widgets/containers.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Button	false	true	src/widgets/input.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/input_widgets.jl:button keyboard and mouse	test/widget_contracts.jl:Immediate widget dimension contracts	test/toolkit_semantics.jl:Toolkit accessibility semantics	test/toolkit_semantics.jl:Toolkit accessibility semantics	test/input_widgets.jl:button keyboard and mouse	test/input_widgets.jl:button keyboard and mouse
Wicked.Widgets.Calendar	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Calendar toolkit semantic integration	test/widget_interactions_extended.jl:Calendar toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Canvas	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Center	true	false	src/widgets/containers.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Chart	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Checkbox	false	true	src/widgets/input.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/input_widgets.jl:checkbox and toggle	test/widget_contracts.jl:Immediate widget dimension contracts	test/toolkit_semantics.jl:Toolkit accessibility semantics	test/toolkit_semantics.jl:Toolkit accessibility semantics	test/input_widgets.jl:checkbox and toggle	test/input_widgets.jl:checkbox and toggle
Wicked.Widgets.Clear	true	false	src/widgets/structure.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Column	true	false	src/widgets/containers.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.CommandPalette	false	true	src/widgets/application.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:command palette filtering and activation	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Command palette toolkit semantic integration	test/widget_interactions_extended.jl:command palette filtering and activation	test/widget_interactions_extended.jl:command palette filtering and activation	test/widget_interactions_extended.jl:palette and log pointer input
Wicked.Widgets.Footer	true	false	src/widgets/application.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:application chrome toolkit semantics	test/acceptance_widgets.jl:application chrome toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Gauge	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Gauge toolkit semantic integration	test/widget_interactions_extended.jl:Gauge toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Grid	true	false	src/widgets/containers.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Header	true	false	src/widgets/application.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:application chrome toolkit semantics	test/acceptance_widgets.jl:application chrome toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Heatmap	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.HelpView	true	false	src/widgets/application.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:help view toolkit semantics	test/acceptance_widgets.jl:help view toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Histogram	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Label	true	false	src/widgets/text.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Text widget toolkit semantic integration	test/widget_interactions_extended.jl:Text widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.LineGauge	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Gauge toolkit semantic integration	test/widget_interactions_extended.jl:Gauge toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.List	false	true	src/widgets/selection.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/selection_widgets.jl:list navigation and viewport	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:List toolkit semantic integration	test/widget_interactions_extended.jl:List toolkit semantic integration	test/selection_widgets.jl:list navigation and viewport	test/selection_widgets.jl:list navigation and viewport
Wicked.Widgets.LogView	false	true	src/widgets/application.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:log keyboard scrolling	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:log keyboard scrolling	test/widget_interactions_extended.jl:log keyboard scrolling	test/widget_interactions_extended.jl:log keyboard scrolling	test/widget_interactions_extended.jl:palette and log pointer input
Wicked.Widgets.Menu	false	true	src/widgets/selection.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/selection_widgets.jl:menu disabled items and activation	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Menu toolkit semantic integration	test/widget_interactions_extended.jl:Menu toolkit semantic integration	test/selection_widgets.jl:menu disabled items and activation	test/selection_widgets.jl:menu disabled items and activation
Wicked.Widgets.MultiSelect	false	true	src/widgets/input.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/input_widgets.jl:multiselect interaction	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Multi-select toolkit semantic integration	test/widget_interactions_extended.jl:Multi-select toolkit semantic integration	test/input_widgets.jl:multiselect interaction	test/input_widgets.jl:multiselect interaction
Wicked.Widgets.NotificationView	true	false	src/widgets/application.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:immediate notification toolkit semantics	test/acceptance_widgets.jl:immediate notification toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.NumberInput	false	true	src/widgets/input.jl	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics	test/new_widget_families.jl:number input toolkit semantics
Wicked.Widgets.Padding	true	false	src/widgets/containers.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Paragraph	true	false	src/widgets/text.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Text widget toolkit semantic integration	test/widget_interactions_extended.jl:Text widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.RadioGroup	false	true	src/widgets/input.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/input_widgets.jl:radio layout and disabled options	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Radio group toolkit semantic integration	test/widget_interactions_extended.jl:Radio group toolkit semantic integration	test/input_widgets.jl:radio layout and disabled options	test/input_widgets.jl:radio layout and disabled options
Wicked.Widgets.Row	true	false	src/widgets/containers.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Rule	true	false	src/widgets/structure.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.ScrollView	false	true	src/widgets/scrolling.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:scroll keyboard and pointer input	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Scroll view toolkit semantic integration	test/widget_interactions_extended.jl:Scroll view toolkit semantic integration	test/widget_interactions_extended.jl:scroll keyboard and pointer input	test/widget_interactions_extended.jl:scroll keyboard and pointer input
Wicked.Widgets.Scrollbar	false	true	src/widgets/scrolling.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:scroll keyboard and pointer input	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Scrollbar toolkit semantic integration	test/widget_interactions_extended.jl:Scrollbar toolkit semantic integration	test/widget_interactions_extended.jl:scroll keyboard and pointer input	test/widget_interactions_extended.jl:scroll keyboard and pointer input
Wicked.Widgets.Select	false	true	src/widgets/input.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/input_widgets.jl:select interaction	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Select toolkit semantic integration	test/widget_interactions_extended.jl:Select toolkit semantic integration	test/input_widgets.jl:select interaction	test/input_widgets.jl:select interaction
Wicked.Widgets.Spacer	true	false	src/widgets/structure.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Sparkline	true	false	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	test/widget_interactions_extended.jl:Visualization toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Spinner	false	true	src/widgets/visualization.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:progress and spinner ticks	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Spinner toolkit semantic integration	test/widget_interactions_extended.jl:Spinner toolkit semantic integration	test/widget_interactions_extended.jl:progress and spinner ticks	n/a:no pointer handler
Wicked.Widgets.Stack	true	false	src/widgets/containers.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	test/widget_interactions_extended.jl:Structural widget toolkit semantic integration	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Widgets.Table	false	true	src/widgets/selection.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/selection_widgets.jl:table row and column selection	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Table toolkit semantic integration	test/widget_interactions_extended.jl:Table toolkit semantic integration	test/selection_widgets.jl:table row and column selection	test/selection_widgets.jl:table row and column selection
Wicked.Widgets.Tabs	false	true	src/widgets/selection.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/selection_widgets.jl:tabs keyboard and mouse	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Tabs toolkit semantic integration	test/widget_interactions_extended.jl:Tabs toolkit semantic integration	test/selection_widgets.jl:tabs keyboard and mouse	test/selection_widgets.jl:tabs keyboard and mouse
Wicked.Widgets.TextArea	false	true	src/widgets/input.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/editing.jl:grapheme editing and history	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Text area toolkit semantic integration	test/widget_interactions_extended.jl:Text area toolkit semantic integration	test/editing.jl:grapheme editing and history	test/widget_interactions_extended.jl:Text area toolkit semantic integration
Wicked.Widgets.TextInput	false	true	src/widgets/input.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/editing.jl:key kinds and single-line normalization	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Text input toolkit semantic integration	test/widget_interactions_extended.jl:Text input toolkit semantic integration	test/editing.jl:key kinds and single-line normalization	test/editing.jl:pointer cursor placement
Wicked.Widgets.Toggle	false	true	src/widgets/input.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/input_widgets.jl:checkbox and toggle	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Toggle toolkit semantic integration	test/widget_interactions_extended.jl:Toggle toolkit semantic integration	test/input_widgets.jl:checkbox and toggle	test/input_widgets.jl:checkbox and toggle
Wicked.Widgets.Tree	false	true	src/widgets/selection.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/selection_widgets.jl:tree expansion and mouse	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Tree toolkit semantic integration	test/widget_interactions_extended.jl:Tree toolkit semantic integration	test/selection_widgets.jl:tree expansion and mouse	test/selection_widgets.jl:tree expansion and mouse
