widget_type	stateless	stateful	source	zero_size	minimal	clipped	resize	state_transition	snapshot	toolkit	semantics	keyboard	pointer
Wicked.Group	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Hyperlink	true	true	src/MediaWidgets.jl	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics
Wicked.ImageView	true	false	src/MediaWidgets.jl	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Inspector	true	true	src/ShellWidgets.jl	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	n/a:no pointer handler
Wicked.Layer	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Link	true	true	src/AcceptanceWidgets.jl	test/widget_interactions_extended.jl:link rendering, clipping, and toolkit state	test/widget_interactions_extended.jl:link rendering, clipping, and toolkit state	test/widget_interactions_extended.jl:link rendering, clipping, and toolkit state	test/widget_interactions_extended.jl:link rendering, clipping, and toolkit state	test/widget_interactions_extended.jl:link keyboard and pointer activation	test/widget_interactions_extended.jl:link rendering, clipping, and toolkit state	test/widget_interactions_extended.jl:link rendering, clipping, and toolkit state	test/widget_interactions_extended.jl:link keyboard and pointer activation	test/widget_interactions_extended.jl:link keyboard and pointer activation	test/widget_interactions_extended.jl:link keyboard and pointer activation
Wicked.LiveDisplay	true	true	src/StreamingWidgets.jl	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	n/a:no pointer handler
Wicked.LogTail	true	true	src/StreamingWidgets.jl	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	n/a:no pointer handler
Wicked.ManagedNotificationView	true	false	src/ManagedNotifications.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:managed notification toolkit semantics	test/acceptance_widgets.jl:managed notification toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.MaskedInput	true	true	src/EditingWidgets.jl	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics
Wicked.MenuBar	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
