# Wicked.Experimental reviewed pre-1.0 API
# name<TAB>binding-kind
ExtensionContext	datatype
ExtensionContribution	datatype
ExtensionContributionKind	datatype
ExtensionDeactivating	value
ExtensionDependency	datatype
ExtensionDescriptor	unionall
ExtensionError	datatype
ExtensionFailed	value
ExtensionFailure	value
ExtensionPolicy	datatype
ExtensionRegistered	value
ExtensionRegistry	datatype
ExtensionState	datatype
FailOnMissingFiles	value
FailTraceRecording	value
FailedPage	value
FailedProgress	value
FailedSlot	value
FailedStep	value
FailureCollector	datatype
FailureRecord	datatype
FailureStage	datatype
FallbackCell	datatype
FileActivate	value
FileBrowserAction	datatype
FileBrowserActionResult	datatype
FileBrowserBindings	datatype
FileBrowserController	datatype
FileBrowserDiagnostic	datatype
FileBrowserState	datatype
FileChoice	datatype
FileChoose	value
FileChooseCurrentDirectory	value
FileCursorDown	value
FileCursorEnd	value
FileCursorHome	value
FileCursorUp	value
FileEntry	datatype
FileEntryKind	datatype
FileFingerprint	datatype
FileKindSort	value
FileModifiedSort	value
FileNameSort	value
FilePageDown	value
FilePageUp	value
FileParentDirectory	value
FilePickerMode	datatype
FilePointerDoublePress	value
FilePointerEvent	datatype
FilePointerHover	value
FilePointerKind	datatype
FilePointerPress	value
FileRefresh	value
FileSizeSort	value
FileSortDirection	datatype
FileSortField	datatype
FileToggleHidden	value
FileToggleSelection	value
FillImage	value
FitImage	value
FocusEntry	datatype
FocusNextLink	value
FocusPanel	value
FocusPreviousLink	value
FocusRegistry	datatype
FocusSemanticAction	value
ForwardAnimation	value
FrameMetrics	datatype
FullMotion	value
FunctionToken	value
FuzzyCompletion	value
GenericRole	value
GraphicsCapabilities	datatype
GraphicsCommand	datatype
GraphicsEmission	datatype
GraphicsError	datatype
GraphicsFrameResult	datatype
GraphicsLayer	datatype
GraphicsPosition	datatype
GraphicsProtocol	datatype
Gray8	value
GroupRole	value
HardBreak	datatype
HeadingBlock	datatype
HeadingRole	value
HighContrastTheme	value
HorizontalControl	value
HorizontalScrollbar	value
HorizontalSplit	value
IOGraphicsSink	unionall
IdlePage	value
IgnoreMissingFiles	value
ImagePlacement	datatype
ImageRegistry	datatype
ImageRole	value
ImageScaling	datatype
IncrementSemanticAction	value
InitializeFailure	value
InlineCode	datatype
InputFailure	value
InputMask	datatype
InspectorContribution	value
InspectorPanel	datatype
InspectorSnapshot	datatype
InstrumentedApp	unionall
InvalidationKind	datatype
JuliaTTYController	unionall
KeyChord	datatype
Keyframe	unionall
KeywordToken	value
